stock_id,year,make,model,trim,price,miles,body,drivetrain,transmission,fuel,color,seats,mpg_city,mpg_hwy,features,image_url
DEMO-1017,2023,Nissan,Rogue,Sport,23000,89831,SUV,4WD,CVT,Gasoline,Silver,5,24,31,"3rd-row, Backup camera, CarPlay, HUD, Heated seats, Navigation, Premium audio, Remote start, Wireless charging",https://images.unsplash.com/photo-1609521263047-f8f205293f24?auto=format&fit=crop&w=800&q=80
DEMO-1018,2024,Nissan,Frontier,Touring,37500,11094,Truck,4WD,Automatic,Gasoline,Beige,5,17,25,"3rd-row, Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, Lane keep assist, Tow package",https://images.unsplash.com/photo-1559416523-140ddc3d238c?auto=format&fit=crop&w=800&q=80
DEMO-1019,2024,Nissan,Sentra,SE,29500,6652,Sedan,FWD,CVT,Gasoline,Beige,5,25,34,"3rd-row, Adaptive cruise, Alloy wheels, Blind-spot monitor, Lane keep assist, Premium audio, Tow package, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1580273916550-e323be2ae537?auto=format&fit=crop&w=800&q=80
DEMO-1020,2024,Hyundai,Elantra,Sport,27250,29553,Sedan,RWD,Manual,Gasoline,White,5,26,36,"Adaptive cruise, Android Auto, Blind-spot monitor, Bluetooth, HUD, Heated seats, Leather, Premium audio",https://images.unsplash.com/photo-1580273916550-e323be2ae537?auto=format&fit=crop&w=800&q=80
DEMO-1021,2018,Hyundai,Tucson,Premium,14750,96863,SUV,AWD,Manual,Gasoline,Silver,5,25,30,"3rd-row, Backup camera, Bluetooth, Leather, Tow package, Ventilated seats",https://images.unsplash.com/photo-1603386329225-868f9b1ee6ae?auto=format&fit=crop&w=800&q=80
DEMO-1022,2024,Hyundai,Santa Fe,Limited,27500,55928,SUV,AWD,Manual,Gasoline,White,5,22,29,"Bluetooth, HUD, Premium audio, Remote start, Wireless charging",https://images.unsplash.com/photo-1603386329225-868f9b1ee6ae?auto=format&fit=crop&w=800&q=80
DEMO-1023,2024,Kia,K5,SE,22250,84779,Sedan,FWD,Automatic,Gasoline,Gray,5,34,39,"Android Auto, HUD, Heated seats, Lane keep assist, Premium audio",https://images.unsplash.com/photo-1580273916550-e323be2ae537?auto=format&fit=crop&w=800&q=80
DEMO-1024,2018,Kia,Sportage,SE,13500,110449,SUV,AWD,Manual,Gasoline,Silver,5,28,32,"3rd-row, Alloy wheels, Bluetooth, CarPlay, HUD, Heated seats, Remote start, Sunroof, Ventilated seats",https://images.unsplash.com/photo-1614200187524-dc4b892acf16?auto=format&fit=crop&w=800&q=80
DEMO-1025,2016,Kia,Telluride,LX,12750,86157,SUV,AWD,CVT,Hybrid,Gray,7,46,40,"3rd-row, Alloy wheels, Bluetooth, CarPlay, Premium audio, Tow package",https://images.unsplash.com/photo-1619976215249-0b4c3d7e9dd9?auto=format&fit=crop&w=800&q=80
DEMO-1026,2016,Mazda,CX-5,Limited,14000,72063,SUV,RWD,Manual,Gasoline,Black,7,24,30,"3rd-row, Adaptive cruise, Alloy wheels, Blind-spot monitor, Bluetooth, Lane keep assist, Navigation, Wireless charging",https://images.unsplash.com/photo-1617469767053-d3b523a0b982?auto=format&fit=crop&w=800&q=80
DEMO-1027,2016,Mazda,Mazda3,Premium,14750,35826,Sedan,FWD,CVT,Hybrid,Beige,5,51,47,"Adaptive cruise, Android Auto, Blind-spot monitor, Bluetooth, HUD, Premium audio, Remote start, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1590362891991-f776e747a588?auto=format&fit=crop&w=800&q=80
DEMO-1028,2024,Mazda,CX-30,Base,28500,43341,SUV,AWD,Automatic,Gasoline,Silver,5,28,33,"Android Auto, Bluetooth, CarPlay, HUD, Heated seats, Remote start, Sunroof",https://images.unsplash.com/photo-1617469767053-d3b523a0b982?auto=format&fit=crop&w=800&q=80
DEMO-1029,2017,Subaru,Outback,Limited,14000,90192,Wagon,AWD,CVT,Gasoline,Blue,5,22,28,"Adaptive cruise, Backup camera, HUD, Lane keep assist, Premium audio",https://images.unsplash.com/photo-1619641471654-76ce0107ad1b?auto=format&fit=crop&w=800&q=80
DEMO-1030,2021,Subaru,Forester,Base,21250,74706,SUV,AWD,Automatic,Gasoline,Red,7,25,33,"3rd-row, Bluetooth, Heated seats, Lane keep assist, Leather, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1619641471654-76ce0107ad1b?auto=format&fit=crop&w=800&q=80
DEMO-1031,2017,Subaru,Crosstrek,Limited,18500,37625,SUV,AWD,CVT,Gasoline,Green,7,31,38,"3rd-row, Adaptive cruise, Bluetooth, Heated seats, Remote start, Sunroof, Wireless charging",https://images.unsplash.com/photo-1619641471654-76ce0107ad1b?auto=format&fit=crop&w=800&q=80
DEMO-1032,2023,Volkswagen,Jetta,EX,26500,22590,Sedan,RWD,Automatic,Gasoline,Beige,5,32,41,"Alloy wheels, Bluetooth, CarPlay, Navigation, Remote start, Sunroof, Tow package, Wireless charging",https://images.unsplash.com/photo-1580273916550-e323be2ae537?auto=format&fit=crop&w=800&q=80
DEMO-1033,2017,Volkswagen,Tiguan,Sport,21250,7084,SUV,FWD,Manual,Hybrid,Brown,5,52,54,"Adaptive cruise, CarPlay, HUD, Lane keep assist, Ventilated seats",https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?auto=format&fit=crop&w=800&q=80
DEMO-1034,2024,BMW,3 Series,SE,37000,11657,Sedan,4WD,Manual,Gasoline,White,5,23,30,"Adaptive cruise, Alloy wheels, Blind-spot monitor, HUD, Premium audio, Tow package, Wireless charging",https://images.unsplash.com/photo-1555215695-3004980ad54e?auto=format&fit=crop&w=800&q=80
DEMO-1035,2016,BMW,X3,EX,21000,83868,SUV,AWD,CVT,Gasoline,Silver,5,32,36,"Adaptive cruise, Alloy wheels, CarPlay, HUD, Sunroof, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1555215695-3004980ad54e?auto=format&fit=crop&w=800&q=80
DEMO-1036,2023,Mercedes-Benz,C-Class,Touring,32750,41123,Sedan,AWD,Manual,Gasoline,Brown,5,29,33,"Adaptive cruise, Android Auto, Blind-spot monitor, CarPlay, HUD, Leather, Navigation, Sunroof",https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?auto=format&fit=crop&w=800&q=80
DEMO-1037,2020,Mercedes-Benz,GLC,Premium,29750,53704,SUV,RWD,Automatic,Gasoline,White,7,29,36,"3rd-row, Alloy wheels, Android Auto, Backup camera, HUD, Lane keep assist, Leather, Premium audio, Remote start, Sunroof",https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?auto=format&fit=crop&w=800&q=80
DEMO-1038,2016,Audi,A4,Limited,23750,23849,Sedan,4WD,CVT,Hybrid,Brown,5,38,36,"Android Auto, Backup camera, Blind-spot monitor, Navigation, Remote start, Sunroof, Tow package, Wireless charging",https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?auto=format&fit=crop&w=800&q=80
DEMO-1039,2022,Audi,Q5,SE,35750,18734,SUV,AWD,Automatic,Gasoline,Blue,5,28,38,"3rd-row, Alloy wheels, Heated seats, Premium audio, Remote start",https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?auto=format&fit=crop&w=800&q=80
DEMO-1040,2016,Tesla,Model 3,Base,26500,39783,Sedan,FWD,Automatic,Electric,Black,5,128,122,"Adaptive cruise, Backup camera, Lane keep assist, Leather, Navigation, Sunroof, Tow package, Wireless charging",https://images.unsplash.com/photo-1560958089-b8a1929cea89?auto=format&fit=crop&w=800&q=80
DEMO-1041,2022,Tesla,Model Y,Limited,31000,117783,SUV,RWD,Automatic,Electric,White,7,135,121,"3rd-row, Adaptive cruise, CarPlay, Heated seats, Lane keep assist, Navigation, Premium audio, Sunroof, Ventilated seats",https://images.unsplash.com/photo-1617704548623-340376564e68?auto=format&fit=crop&w=800&q=80
DEMO-1042,2020,Jeep,Grand Cherokee,Limited,22750,42029,SUV,AWD,Manual,Gasoline,Gray,5,25,32,"3rd-row, Adaptive cruise, Alloy wheels, Android Auto, Backup camera, HUD, Lane keep assist, Leather, Wireless charging",https://images.unsplash.com/photo-1619976215249-0b4c3d7e9dd9?auto=format&fit=crop&w=800&q=80
DEMO-1043,2023,Jeep,Wrangler,Premium,25750,59023,SUV,AWD,Automatic,Hybrid,Silver,5,44,47,"3rd-row, Adaptive cruise, Bluetooth, Lane keep assist, Remote start",https://images.unsplash.com/photo-1551830820-330a71b99659?auto=format&fit=crop&w=800&q=80
DEMO-1044,2022,GMC,Sierra 1500,Touring,30250,57248,Truck,4WD,Automatic,Gasoline,Brown,5,22,29,"Alloy wheels, Android Auto, Backup camera, Blind-spot monitor, Leather, Remote start, Sunroof, Tow package, Wireless charging",https://images.unsplash.com/photo-1583267746897-2cf415887172?auto=format&fit=crop&w=800&q=80
DEMO-1045,2022,GMC,Acadia,Sport,25500,43896,SUV,FWD,Automatic,Gasoline,Black,5,29,34,"Adaptive cruise, Alloy wheels, Blind-spot monitor, CarPlay, Heated seats, Lane keep assist, Tow package, Ventilated seats",https://images.unsplash.com/photo-1570294820828-5230f2fc9717?auto=format&fit=crop&w=800&q=80
DEMO-1046,2019,Volvo,XC60,LX,31000,23234,SUV,FWD,CVT,Gasoline,Brown,7,33,39,"3rd-row, Adaptive cruise, Android Auto, Bluetooth, CarPlay, Sunroof",https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?auto=format&fit=crop&w=800&q=80
DEMO-1047,2020,Lexus,RX 350,SE,28000,72239,SUV,FWD,Automatic,Gasoline,White,5,26,33,"3rd-row, Adaptive cruise, Blind-spot monitor, CarPlay, HUD, Lane keep assist, Navigation, Premium audio, Wireless charging",https://images.unsplash.com/photo-1621007947382-bb3c3994e3fb?auto=format&fit=crop&w=800&q=80
DEMO-1048,2021,Acura,RDX,Premium,28250,87485,SUV,AWD,CVT,Gasoline,Gray,5,29,38,"Android Auto, CarPlay, Leather, Navigation, Tow package",https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?auto=format&fit=crop&w=800&q=80
DEMO-1049,2017,Porsche,Macan,Sport,26750,36719,SUV,AWD,Manual,Gasoline,Gray,5,33,43,"3rd-row, Blind-spot monitor, CarPlay, Remote start, Sunroof, Tow package, Wireless charging",https://images.unsplash.com/photo-1614162692292-7ac56d7f7f1e?auto=format&fit=crop&w=800&q=80
DEMO-1050,2024,Toyota,Supra,Premium,52500,8500,Coupe,RWD,Automatic,Gasoline,Yellow,2,22,31,"Adaptive cruise, Android Auto, Backup camera, Bluetooth, HUD, Navigation, Premium audio, Wireless charging",https://images.unsplash.com/photo-1600712242805-5f78671b24da?auto=format&fit=crop&w=800&q=80
DEMO-1051,2023,Honda,Ridgeline,RTL,41500,18200,Truck,AWD,Automatic,Gasoline,Silver,5,18,24,"Android Auto, Backup camera, Blind-spot monitor, CarPlay, Heated seats, Navigation, Tow package",https://images.unsplash.com/photo-1559416523-140ddc3d238c?auto=format&fit=crop&w=800&q=80
DEMO-1052,2022,Chevrolet,Corvette,Stingray,68500,12500,Coupe,RWD,Automatic,Gasoline,Red,2,15,27,"Adaptive cruise, Backup camera, Bluetooth, HUD, Leather, Navigation, Premium audio, Wireless charging",https://images.unsplash.com/photo-1544636331-e26879cd4d9b?auto=format&fit=crop&w=800&q=80
DEMO-1053,2024,Hyundai,Ioniq 5,Limited,48000,5200,SUV,AWD,Automatic,Electric,White,5,110,87,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, Heated seats, Navigation, Sunroof, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=800&q=80
DEMO-1054,2023,Kia,EV6,GT-Line,52000,9800,SUV,AWD,Automatic,Electric,Black,5,116,94,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, HUD, Heated seats, Lane keep assist, Navigation, Sunroof",https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=800&q=80
DEMO-1055,2023,Ford,Bronco,Wildtrak,49500,15600,SUV,4WD,Automatic,Gasoline,Orange,5,17,21,"4WD, Backup camera, Bluetooth, Navigation, Premium audio, Tow package",https://images.unsplash.com/photo-1551830820-330a71b99659?auto=format&fit=crop&w=800&q=80
DEMO-1056,2024,Rivian,R1S,Adventure,78500,6200,SUV,AWD,Automatic,Electric,Green,7,110,98,"3rd-row, Adaptive cruise, Backup camera, Blind-spot monitor, HUD, Heated seats, Navigation, Premium audio, Tow package, Wireless charging",https://images.unsplash.com/photo-1617704548623-340376564e68?auto=format&fit=crop&w=800&q=80
DEMO-1057,2023,Lucid,Air,Pure,72000,11500,Sedan,AWD,Automatic,Electric,Silver,5,140,120,"Adaptive cruise, Backup camera, Blind-spot monitor, Glass roof, HUD, Heated seats, Navigation, Premium audio, Wireless charging",https://images.unsplash.com/photo-1617886322168-72b886573c35?auto=format&fit=crop&w=800&q=80
DEMO-1058,2022,Genesis,GV70,Sport Prestige,46500,22000,SUV,AWD,Automatic,Gasoline,Gray,5,19,25,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, HUD, Heated seats, Leather, Navigation, Sunroof, Ventilated seats",https://images.unsplash.com/photo-1606664515524-ed2f786a0bd6?auto=format&fit=crop&w=800&q=80
DEMO-1059,2023,Lexus,IS 500,F Sport,58000,14500,Sedan,RWD,Automatic,Gasoline,Blue,5,17,25,"Adaptive cruise, Backup camera, Blind-spot monitor, HUD, Heated seats, Leather, Navigation, Premium audio, Sunroof",https://images.unsplash.com/photo-1619767886558-efdc259cde1a?auto=format&fit=crop&w=800&q=80
DEMO-1060,2024,Mazda,CX-90,Premium Plus,47000,8900,SUV,AWD,Automatic,Hybrid,Red,7,26,29,"3rd-row, Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, HUD, Heated seats, Lane keep assist, Navigation, Sunroof",https://images.unsplash.com/photo-1617469767053-d3b523a0b982?auto=format&fit=crop&w=800&q=80
DEMO-1061,2023,Acura,Integra,A-Spec,34500,16700,Hatchback,FWD,CVT,Gasoline,Yellow,5,26,36,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, Heated seats, Lane keep assist, Sunroof",https://images.unsplash.com/photo-1590362891991-f776e747a588?auto=format&fit=crop&w=800&q=80
DEMO-1062,2022,Porsche,Cayenne,Base,62000,28500,SUV,AWD,Automatic,Gasoline,Black,5,19,23,"Adaptive cruise, Backup camera, Blind-spot monitor, HUD, Heated seats, Leather, Navigation, Premium audio, Sunroof, Wireless charging",https://images.unsplash.com/photo-1614162692292-7ac56d7f7f1e?auto=format&fit=crop&w=800&q=80
DEMO-1063,2024,BMW,i4,eDrive40,54000,7800,Sedan,RWD,Automatic,Electric,Blue,5,109,97,"Adaptive cruise, Backup camera, Blind-spot monitor, HUD, Heated seats, Navigation, Premium audio, Sunroof, Wireless charging",https://images.unsplash.com/photo-1555215695-3004980ad54e?auto=format&fit=crop&w=800&q=80
DEMO-1064,2023,Mercedes-Benz,EQE,SUV 350,72500,12200,SUV,AWD,Automatic,Electric,White,5,98,80,"Adaptive cruise, Backup camera, Blind-spot monitor, HUD, Heated seats, Leather, Navigation, Premium audio, Sunroof, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1618843479313-40f8afb4b4d8?auto=format&fit=crop&w=800&q=80
DEMO-1065,2024,Volkswagen,ID.4,Pro S Plus,45000,4500,SUV,AWD,Automatic,Electric,Gray,5,107,91,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, HUD, Heated seats, Lane keep assist, Navigation, Sunroof",https://images.unsplash.com/photo-1593941707882-a5bba14938c7?auto=format&fit=crop&w=800&q=80
DEMO-1066,2023,Cadillac,Lyriq,Luxury,58500,9200,SUV,RWD,Automatic,Electric,Black,5,95,90,"Adaptive cruise, Backup camera, Blind-spot monitor, HUD, Heated seats, Leather, Navigation, Premium audio, Sunroof, Ventilated seats, Wireless charging",https://images.unsplash.com/photo-1617704548623-340376564e68?auto=format&fit=crop&w=800&q=80
DEMO-1067,2024,Polestar,2,Long Range,48500,5800,Sedan,AWD,Automatic,Electric,White,5,107,92,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, Glass roof, HUD, Heated seats, Navigation, Premium audio",https://images.unsplash.com/photo-1560958089-b8a1929cea89?auto=format&fit=crop&w=800&q=80
DEMO-1068,2023,Toyota,bZ4X,Limited,44500,11200,SUV,AWD,Automatic,Electric,Silver,5,104,92,"Adaptive cruise, Android Auto, Backup camera, Blind-spot monitor, CarPlay, Heated seats, Lane keep assist, Navigation, Sunroof, Wireless charging",https://images.unsplash.com/photo-1617704548623-340376564e68?auto=format&fit=crop&w=800&q=80
